Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,Estimates Start After,,,
Afghanistan,Gross domestic product per capita, current prices,U.S. dollars,Units,599.994, current prices (National currency) Population (Persons).,599.994,2013,
Albania,Gross domestic product per capita, current prices,U.S. dollars,Units,3995.383, current prices (National currency) Population (Persons).,3,995.383,2010
Algeria,Gross domestic product per capita, current prices,U.S. dollars,Units,4318.135, current prices (National currency) Population (Persons).,4,318.135,2014
Angola,Gross domestic product per capita, current prices,U.S. dollars,Units,4100.315, current prices (National currency) Population (Persons).,4,100.315,2014
Antigua and Barbuda,Gross domestic product per capita, current prices,U.S. dollars,Units,14414.302, current prices (National currency) Population (Persons).,14,414.302,2011
Argentina,Gross domestic product per capita, current prices,U.S. dollars,Units,13588.846, current prices (National currency) Population (Persons).,13,588.846,2013
Armenia,Gross domestic product per capita, current prices,U.S. dollars,Units,3534.860, current prices (National currency) Population (Persons).,3,534.860,2014
Australia,Gross domestic product per capita, current prices,U.S. dollars,Units,50961.865, current prices (National currency) Population (Persons).,50,961.865,2014
Austria,Gross domestic product per capita, current prices,U.S. dollars,Units,43724.031, current prices (National currency) Population (Persons).,43,724.031,2015
Azerbaijan,Gross domestic product per capita, current prices,U.S. dollars,Units,5739.433, current prices (National currency) Population (Persons).,5,739.433,2014
The Bahamas,Gross domestic product per capita, current prices,U.S. dollars,Units,23902.805, current prices (National currency) Population (Persons).,23,902.805,2013
Bahrain,Gross domestic product per capita, current prices,U.S. dollars,Units,23509.981, current prices (National currency) Population (Persons).,23,509.981,2014
Bangladesh,Gross domestic product per capita, current prices,U.S. dollars,Units,1286.868, current prices (National currency) Population (Persons).,1,286.868,2013
Barbados,Gross domestic product per capita, current prices,U.S. dollars,Units,15773.555, current prices (National currency) Population (Persons).,15,773.555,2010
Belarus,Gross domestic product per capita, current prices,U.S. dollars,Units,5749.119, current prices (National currency) Population (Persons).,5,749.119,2013
Belgium,Gross domestic product per capita, current prices,U.S. dollars,Units,40106.632, current prices (National currency) Population (Persons).,40,106.632,2014
Belize,Gross domestic product per capita, current prices,U.S. dollars,Units,4841.735, current prices (National currency) Population (Persons).,4,841.735,2013
Benin,Gross domestic product per capita, current prices,U.S. dollars,Units,780.063, current prices (National currency) Population (Persons).,780.063,2011,
Bhutan,Gross domestic product per capita, current prices,U.S. dollars,Units,2843.402, current prices (National currency) Population (Persons).,2,843.402,2011
Bolivia,Gross domestic product per capita, current prices,U.S. dollars,Units,2886.231, current prices (National currency) Population (Persons).,2,886.231,2012
Bosnia and Herzegovina,Gross domestic product per capita, current prices,U.S. dollars,Units,4088.212, current prices (National currency) Population (Persons).,4,088.212,2014
Botswana,Gross domestic product per capita, current prices,U.S. dollars,Units,6040.957, current prices (National currency) Population (Persons).,6,040.957,2008
Brazil,Gross domestic product per capita, current prices,U.S. dollars,Units,8669.998, current prices (National currency) Population (Persons).,8,669.998,2014
Brunei Darussalam,Gross domestic product per capita, current prices,U.S. dollars,Units,28236.640, current prices (National currency) Population (Persons).,28,236.640,2013
Bulgaria,Gross domestic product per capita, current prices,U.S. dollars,Units,6831.661, current prices (National currency) Population (Persons).,6,831.661,2014
Burkina Faso,Gross domestic product per capita, current prices,U.S. dollars,Units,614.500, current prices (National currency) Population (Persons).,614.500,2012,
Burundi,Gross domestic product per capita, current prices,U.S. dollars,Units,305.783, current prices (National currency) Population (Persons).,305.783,0,
Cabo Verde,Gross domestic product per capita, current prices,U.S. dollars,Units,3038.511, current prices (National currency) Population (Persons).,3,038.511,2014
Cambodia,Gross domestic product per capita, current prices,U.S. dollars,Units,1168.036, current prices (National currency) Population (Persons).,1,168.036,2012
Cameroon,Gross domestic product per capita, current prices,U.S. dollars,Units,1232.423, current prices (National currency) Population (Persons).,1,232.423,2010
Canada,Gross domestic product per capita, current prices,U.S. dollars,Units,43331.961, current prices (National currency) Population (Persons).,43,331.961,2015
Central African Republic,Gross domestic product per capita, current prices,U.S. dollars,Units,334.870, current prices (National currency) Population (Persons).,334.870,2004,
Chad,Gross domestic product per capita, current prices,U.S. dollars,Units,941.903, current prices (National currency) Population (Persons).,941.903,2004,
Chile,Gross domestic product per capita, current prices,U.S. dollars,Units,13340.905, current prices (National currency) Population (Persons).,13,340.905,2014
China,Gross domestic product per capita, current prices,U.S. dollars,Units,7989.720, current prices (National currency) Population (Persons).,7,989.720,2015
Colombia,Gross domestic product per capita, current prices,U.S. dollars,Units,6083.510, current prices (National currency) Population (Persons).,6,083.510,2014
Comoros,Gross domestic product per capita, current prices,U.S. dollars,Units,736.348, current prices (National currency) Population (Persons).,736.348,2003,
